model,coin,year,value_proj,time_proj,purch_power,real_earn
macberth,florin,1710,0.28404331094254476,0.09586206823587418,0.15748785587238628,42.187754787446664
macberth,florin,1720,0.2819426524310626,0.09376484155654907,0.1644993015105404,44.31799719512114
macberth,florin,1730,0.2797519562007506,0.09229807555675507,0.17216414351640785,48.03544643286373
macberth,florin,1740,0.27943517884732705,0.0914447009563446,0.17466834924028288,50.233123648760746
macberth,florin,1750,0.2795149818078565,0.09497533738613129,0.16354714348341096,47.54318595522974
macberth,florin,1760,0.28163185778461,0.09583961963653564,0.1434915490398142,42.23256240835029
macberth,florin,1770,0.282303617887248,0.09536304324865341,0.12611208706214241,41.65563275038803
macberth,florin,1780,0.2818830693340644,0.09834246337413788,0.12113108501155932,43.29710646648375
macberth,florin,1790,0.28312902274362867,0.104056216776371,0.1130622455358706,46.18645498456707
macberth,florin,1800,0.28371973232674086,0.10636724531650543,0.08526197734198854,47.74247247999312
macberth,florin,1810,0.283007088948648,0.10479965806007385,0.07068269264203877,47.30899556344754
macberth,florin,1820,0.28269295575430053,0.10733892023563385,0.0771242930978539,47.94951187114766
macberth,florin,1830,0.28248654373984566,0.1070316880941391,0.09026461508176865,51.24513966269001
macberth,florin,1840,0.2811455529833982,0.1093030646443367,0.09044074556599284,53.75027159446707
macberth,florin,1850,0.2807522384929289,0.11134401708841324,0.09005326466534641,57.36873941186149
macberth,florin,1860,0.27747933069778685,0.1133146658539772,0.08373739665666832,60.00304738434106
macberth,florin,1870,0.2774444218157224,0.1154852882027626,0.08222521750488986,67.17886557097987
macberth,florin,1880,0.2764733827132381,0.11709091812372208,0.08760232508291382,77.56761450588606
macberth,florin,1890,0.2757852750486844,0.11834666132926941,0.09699950922755289,89.47062417375653
macberth,florin,1900,0.27491984493088706,0.11365004628896713,0.09715757469614748,99.44223996410213
macberth,florin,1910,0.27422196012559497,0.11284030228853226,0.08313576577588934,102.40646022705336
macberth,florin,1920,0.2746472957078226,0.106080561876297,0.04745495579585952,105.83422412339061
